lower_bound,upper_bound,desvio_padrao_tempo,desvio_padrao_aptidao,variancia_tempo,variancia_aptidao,media_tempo,media_aptidao,mediana_tempo,mediana_aptidao
1384,1409,0.014102322347209914,21.74948275247023,0.00019887549558461615,473.03999999999996,30.01830554008484,1372.4,30.016127705574036,1376.0
1842,1865,0.013045140016757488,26.860565891283823,0.00017017567805680756,721.49,30.02344400882721,1834.9,30.025845408439636,1841.0
2569,2587,0.010500144812221047,11.454693361238439,0.00011025304107761257,131.20999999999998,30.022414445877075,2567.7,30.021416783332825,2569.0
2913,2990,0.017999872536659807,36.64969304100649,0.000323995411336,1343.2,30.055307340621948,2923.0,30.060619473457336,2918.0
3594,3638,0.02322748907907432,31.48158191705112,0.0005395162489185169,991.0900000000001,30.03509349822998,3592.1,30.038317441940308,3595.0
4577,4650,0.02145994262466013,32.744465181156954,0.00046052913745370466,1072.2,30.052221012115478,4593.0,30.05014479160309,4599.0
5833,5837,0.0381598067805972,20.98952119511067,0.0014561708535325124,440.56000000000006,30.04852604866028,5814.2,30.03795099258423,5823.5
6660,6660,0.03368831980519154,43.965440973564675,0.0011349028912968607,1932.9599999999998,30.08176484107971,6573.8,30.082640290260315,6584.0
7439,7527,0.04557323065558326,26.27241899787684,0.002076919352386994,690.24,30.06783781051636,7452.6,30.060861229896545,7448.0
11725,11925,0.09126508357629082,61.98999919341829,0.008329315480187347,3842.7600000000007,30.118756031990053,11853.8,30.075741291046143,11881.0
