lower_bound,upper_bound,desvio_padrao_tempo,desvio_padrao_aptidao,variancia_tempo,variancia_aptidao,media_tempo,media_aptidao,mediana_tempo,mediana_aptidao
1433,1438,0.00203851655861072,29.138290958805392,4.155549759730093e-06,849.04,1.0036129713058473,1412.6,1.0033667087554932,1424.0
1939,1972,0.0017027728532414495,35.42894297040203,2.899435389736027e-06,1255.2099999999998,1.0025031566619873,1924.7,1.002516508102417,1931.0
2629,2752,0.0018271773857750982,45.446782064300216,3.338577199087922e-06,2065.41,1.0040539026260376,2644.3,1.0035830736160278,2638.0
3017,3100,0.004644171829232632,53.322509318298216,2.1568331979437973e-05,2843.29,1.007717490196228,2997.1,1.0087425708770752,2985.5
